issue,draw_date,week,numbers,numbers_sorted,numbers_sequence,sale_money,prize_pool_money,fix_pool_money,source
2020021,2020-11-17,星期二,03 04 10 13 16 17 24 35 38 43 48 50 54 58 59 70 72 73 74 75,03 04 10 13 16 17 24 35 38 43 48 50 54 58 59 70 72 73 74 75,03 73 70 75 58 59 24 16 38 35 10 72 74 04 50 17 43 54 48 13,11057398,7525476.25,,zhcw_jsonp
2020022,2020-11-18,星期三,03 06 11 12 13 18 19 24 30 32 33 35 36 47 51 58 62 68 70 72,03 06 11 12 13 18 19 24 30 32 33 35 36 47 51 58 62 68 70 72,58 47 62 30 03 36 11 19 33 13 72 51 12 32 18 24 70 35 68 06,11673230,8077499.6,,zhcw_jsonp
2020023,2020-11-19,星期四,01 03 04 07 10 13 15 16 25 30 32 36 38 46 48 51 61 64 67 80,01 03 04 07 10 13 15 16 25 30 32 36 38 46 48 51 61 64 67 80,15 16 25 80 36 38 64 04 13 46 10 32 51 67 61 48 30 03 07 01,11100440,8837123.35,,zhcw_jsonp
2020024,2020-11-20,星期五,11 12 15 17 28 35 37 43 44 46 49 50 55 60 70 71 73 76 78 80,11 12 15 17 28 35 37 43 44 46 49 50 55 60 70 71 73 76 78 80,11 15 60 49 73 78 76 46 80 35 70 17 44 55 50 12 37 71 43 28,12594940,9714755.45,,zhcw_jsonp
2020025,2020-11-21,星期六,02 04 06 10 21 32 33 37 39 40 48 49 59 61 63 64 65 70 79 80,02 04 06 10 21 32 33 37 39 40 48 49 59 61 63 64 65 70 79 80,32 48 59 65 79 02 70 37 64 06 33 04 61 40 63 39 21 10 49 80,10986986,10473634.1,,zhcw_jsonp
2020026,2020-11-22,星期日,02 03 06 11 18 22 30 34 35 37 46 48 53 57 61 68 71 77 79 80,02 03 06 11 18 22 30 34 35 37 46 48 53 57 61 68 71 77 79 80,18 68 61 57 03 11 35 77 71 34 79 46 30 48 22 06 02 37 53 80,10128142,11138216.5,,zhcw_jsonp
2020027,2020-11-23,星期一,08 11 12 16 19 30 32 33 40 45 47 50 54 58 59 61 62 76 79 80,08 11 12 16 19 30 32 33 40 45 47 50 54 58 59 61 62 76 79 80,47 33 08 45 61 16 80 79 54 40 19 32 11 30 76 62 58 59 50 12,11209136,11913686.35,,zhcw_jsonp
2020028,2020-11-24,星期二,05 06 08 13 17 22 27 28 30 32 40 61 63 64 65 66 71 74 75 76,05 06 08 13 17 22 27 28 30 32 40 61 63 64 65 66 71 74 75 76,05 13 74 28 66 63 08 76 30 06 27 40 32 61 17 64 71 22 65 75,10537440,12588288.7,,zhcw_jsonp
2020029,2020-11-25,星期三,10 15 23 25 29 30 31 33 48 50 51 54 57 62 63 70 71 75 76 79,10 15 23 25 29 30 31 33 48 50 51 54 57 62 63 70 71 75 76 79,54 63 50 51 70 33 31 48 79 25 29 62 30 15 71 76 57 75 23 10,10890350,13249548.75,,zhcw_jsonp
2020030,2020-11-26,星期四,02 05 07 18 22 23 27 29 30 32 34 37 40 51 56 58 62 67 70 78,02 05 07 18 22 23 27 29 30 32 34 37 40 51 56 58 62 67 70 78,67 18 05 02 78 51 27 30 23 62 29 70 34 07 37 56 40 58 32 22,10459834,13962828.1,,zhcw_jsonp
2020031,2020-11-27,星期五,01 04 08 09 16 21 23 25 35 43 48 53 54 57 66 67 73 75 79 80,01 04 08 09 16 21 23 25 35 43 48 53 54 57 66 67 73 75 79 80,48 16 75 08 01 23 79 35 80 67 53 57 73 25 66 43 09 54 21 04,11530152,14783957.9,,zhcw_jsonp
2020032,2020-11-28,星期六,02 09 10 13 29 32 37 47 48 50 56 64 68 69 72 73 75 76 77 78,02 09 10 13 29 32 37 47 48 50 56 64 68 69 72 73 75 76 77 78,48 02 68 76 32 37 69 77 78 64 75 72 56 50 09 73 13 47 29 10,10453914,15314662.35,,zhcw_jsonp
2020033,2020-11-29,星期日,04 10 12 16 19 25 26 28 32 34 36 39 42 50 54 61 66 71 75 80,04 10 12 16 19 25 26 28 32 34 36 39 42 50 54 61 66 71 75 80,66 36 80 54 25 61 28 26 75 71 39 19 16 50 34 12 10 42 32 04,9931892,15992317.45,,zhcw_jsonp
2020034,2020-11-30,星期一,01 04 08 18 24 26 30 32 35 42 44 48 51 57 61 63 65 68 73 74,01 04 08 18 24 26 30 32 35 42 44 48 51 57 61 63 65 68 73 74,18 44 57 48 65 63 51 68 24 04 01 30 61 32 35 42 74 08 26 73,10225948,16690679.3,,zhcw_jsonp
2020035,2020-12-01,星期二,03 05 07 08 11 19 24 30 32 40 44 45 53 54 57 63 72 76 77 80,03 05 07 08 11 19 24 30 32 40 44 45 53 54 57 63 72 76 77 80,76 53 72 03 44 11 40 07 77 24 80 54 57 08 05 32 63 19 45 30,9515226,17224780.35,,zhcw_jsonp
2020036,2020-12-02,星期三,03 09 14 16 22 23 24 26 40 41 47 49 54 56 58 65 67 72 73 77,03 09 14 16 22 23 24 26 40 41 47 49 54 56 58 65 67 72 73 77,65 47 41 49 09 56 03 14 77 72 16 67 40 23 54 73 22 26 58 24,9987752,12827067.15,,zhcw_jsonp
2020037,2020-12-03,星期四,08 10 14 15 25 33 34 36 39 40 41 44 48 56 60 63 64 70 77 80,08 10 14 15 25 33 34 36 39 40 41 44 48 56 60 63 64 70 77 80,10 40 25 34 44 56 33 80 36 41 60 15 63 64 70 39 77 14 48 08,9331688,13509158.3,,zhcw_jsonp
2020038,2020-12-04,星期五,10 12 14 15 16 23 24 27 30 32 33 42 49 50 51 60 66 67 72 77,10 12 14 15 16 23 24 27 30 32 33 42 49 50 51 60 66 67 72 77,15 42 49 66 27 14 23 16 67 10 12 60 24 72 33 51 32 50 30 77,10395566,14182937.3,,zhcw_jsonp
2020039,2020-12-05,星期六,01 03 07 09 11 17 19 23 32 34 38 40 42 43 52 61 68 70 77 80,01 03 07 09 11 17 19 23 32 34 38 40 42 43 52 61 68 70 77 80,07 43 77 68 42 52 34 70 09 17 32 11 03 40 01 38 23 61 19 80,9689096,14709702.7,,zhcw_jsonp
2020040,2020-12-06,星期日,03 04 07 08 16 26 32 33 37 41 42 45 56 59 61 63 65 66 76 80,03 04 07 08 16 26 32 33 37 41 42 45 56 59 61 63 65 66 76 80,42 37 04 63 66 16 65 32 08 03 45 61 80 33 56 59 26 07 76 41,9897416,15316693.35,,zhcw_jsonp
2020041,2020-12-07,星期一,06 13 19 21 26 30 37 38 39 41 42 45 47 48 52 53 62 72 75 80,06 13 19 21 26 30 37 38 39 41 42 45 47 48 52 53 62 72 75 80,06 80 47 37 72 52 38 53 19 42 48 30 39 62 75 41 21 45 13 26,10210084,15968442.2,,zhcw_jsonp
2020042,2020-12-08,星期二,02 05 06 08 11 19 26 34 40 43 49 52 53 58 60 61 63 72 75 76,02 05 06 08 11 19 26 34 40 43 49 52 53 58 60 61 63 72 75 76,43 08 76 53 40 60 34 02 05 49 52 63 26 19 75 06 11 61 58 72,10163990,16547786.25,,zhcw_jsonp
2020043,2020-12-09,星期三,05 09 13 18 19 21 33 35 38 39 40 44 48 57 64 65 67 68 69 76,05 09 13 18 19 21 33 35 38 39 40 44 48 57 64 65 67 68 69 76,57 40 67 33 44 68 38 64 39 19 13 18 21 69 05 48 76 65 35 09,10608832,17184374.4,,zhcw_jsonp
2020044,2020-12-10,星期四,02 03 07 09 11 12 16 26 28 32 33 34 44 45 46 48 52 57 63 66,02 03 07 09 11 12 16 26 28 32 33 34 44 45 46 48 52 57 63 66,26 07 46 44 45 57 16 52 12 34 33 02 63 11 03 28 32 09 66 48,10705672,17565852.65,,zhcw_jsonp
2020045,2020-12-11,星期五,03 06 13 14 19 22 23 30 31 35 38 41 44 52 59 63 70 73 75 78,03 06 13 14 19 22 23 30 31 35 38 41 44 52 59 63 70 73 75 78,06 73 13 14 31 41 35 52 23 63 30 19 75 22 59 70 44 03 38 78,12986938,18444011.55,,zhcw_jsonp
2020046,2020-12-12,星期六,03 05 11 15 18 19 27 30 32 33 36 37 39 42 51 54 66 68 71 79,03 05 11 15 18 19 27 30 32 33 36 37 39 42 51 54 66 68 71 79,36 30 19 37 05 11 39 79 71 32 42 03 51 33 27 54 15 18 68 66,12270858,14146568.25,,zhcw_jsonp
